nid|state|city|name|url|error
91|MI|Holly|The Holly Express|http://www.thehollyexpress.com/|
92|MI|Houghton|The Daily Mining Gazette|http://www.mininggazette.com/|
93|MI|Houghton Lake|Houghton Lake Resorter|http://www.houghtonlakeresorter.com/|
94|MI|Howell|Daily Press & Argus|http://www.livingstondaily.com/|
95|MI|Indian River|Straitsland Resorter|http://www.resorter.com/|
96|MI|Iron Mountain|The Daily News|http://www.ironmountaindailynews.com/|
97|MI|Iron River|Iron County Reporter|http://www.ironcountyreporter.com/|
98|MI|Ironwood|Ironwood Daily Globe|http://yourdailyglobe.com/|
99|MI|Ironwood|Ironwood Info|http://www.ironwoodinfo.com/|
100|MI|Jackson|Jackson Citizen Patriot|http://www.mlive.com/citpat/|
101|MI|Jackson|Jackson County Legal News|http://www.legalnews.com/|
102|MI|Kalamazoo|Kalamazoo Gazette|http://www.mlive.com/kzgazette/|
103|MI|Kalkaska|The Leader and Kalkaskian|http://morningstarpublishing.com/leader_and_kalkaskian/|
104|MI|L' Anse|L'Anse Sentinel|http://www.lansesentinel.com/|
105|MI|Lansing|Lansing State Journal|http://www.lansingstatejournal.com/|
106|MI|Lapeer|County Press|http://thecountypress.mihomepaper.com/|
107|MI|Lapeer|Lapeer Area View|http://lapeerareaview.mihomepaper.com/|
108|MI|Leland|The Leelanau Enterprise|http://www.leelanaunews.com/|Bad url?
109|MI|Lewiston|Montmorency County Tribune|http://www.montmorencytribune.com/|
110|MI|Livonia|Livonia Observer|http://www.hometownlife.com/apps/pbcs.dll/section?Category=NEWS10|
111|MI|Ludington|Ludington Daily News|http://www.ludingtondailynews.com/|
112|MI|Mackinac Island|Town Crier|http://www.mackinacislandnews.com/|
113|MI|Marlette|The Marlette Leader|http://www.michigansthumb.com/marlette_leader/front/|
114|MI|Marquette|The Mining Journal|http://www.miningjournal.net/|
115|MI|Midland|Midland Daily News|http://www.ourmidland.com/|
116|MI|Milan|Milan News|http://www.heritage.com/milan_news_leader/|
117|MI|Mio|Oscoda County Herald|http://oscodaherald.com/|
118|MI|Monroe|Monroe Evening News|http://www.monroenews.com/|
119|MI|Monroe|Monroe Guardian|http://www.monroeguardian.com/|
120|MI|Mount Clemens|Macomb Daily|http://www.macombdaily.com/|
121|MI|Mount Pleasant|Morning Sun|http://www.themorningsun.com/|
122|MI|Muskegon|Muskegon Chronicle|http://www.mlive.com/chronicle/|
123|MI|New Baltimore|The Voice|http://www.voicenews.com/|
124|MI|Niles|Daily Star|http://www.nilesstar.com/|
125|MI|Northville|Northville Record|http://www.hometownlife.com/apps/pbcs.dll/section?Category=NEWS12|
126|MI|Novi|Novi News|http://www.hometownlife.com/apps/pbcs.dll/section?Category=NEWS13|
127|MI|Oscoda|Oscoda Press|http://www.oscodapress.com|
128|MI|Owosso|Argus-Press Daily|http://www.argus-press.com/|
129|MI|Petoskey|Petoskey News-Review|http://www.petoskeynews.com/|
130|MI|Pontiac|The Oakland Press|http://www.theoaklandpress.com/|
131|MI|Port Huron|The Times Herald|http://www.thetimesherald.com/|
132|MI|Rogers City|Presque Isle County Advance|http://www.piadvance.com|
133|MI|Rollin|Hudson Post-Gazette|http://www.hudsonpg.net/|
134|MI|Romeo|The Romeo Observer|http://www.romeoobserver.com/|
135|MI|Royal Oak|Daily Tribune|http://www.dailytribune.com/|
136|MI|Saginaw|Saginaw News|http://www.mlive.com/saginawnews/|
137|MI|Saint Ignace|St. Ignace News|http://www.stignacenews.com/|
138|MI|Saint Joseph|The Herald-Palladium|http://www.heraldpalladium.com/|
139|MI|Saline|Saline Reporter|http://heritage.com/saline_reporter/|
140|MI|Sandusky|Sanilac County News|http://sanilaccountynews.mihomepaper.com/|
141|MI|Sault Sainte Marie|The Evening News|http://www.sooeveningnews.com/|
142|MI|Southfield|Action Detroit|http://www.actiondetroit.com/|
143|MI|Southfield|Southfield Eccentric|http://www.hometownlife.com/apps/pbcs.dll/section?Category=NEWS20|
144|MI|Southgate|The News Herald|http://www.thenewsherald.com|
145|MI|Standish|Arenac County Independent|http://www.arenacindependent.com/|
146|MI|Sturgis|Sturgis Journal|http://www.sturgisjournal.com/|
147|MI|Tawas City|Iosco County News-Herald|http://www.iosconews.com|
148|MI|Three Rivers|Commercial-News|http://www.threeriversnews.com/|
149|MI|Traverse City|Grand Traverse Herald|http://record-eagle.com/herald|
150|MI|Traverse City|Grand Traverse Insider|http://www.morningstarpublishing.com/grand_traverse_insider/|
151|MI|Traverse City|Northern Express|http://www.northernexpress.com/|
152|MI|Traverse City|Record-Eagle|http://record-eagle.com/|
153|MI|Utica|Advisor & Source|http://www.sourcenewspapers.com|
154|MI|Vanderbilt|Vanderbiltmich.com|http://www.vanderbiltmich.com/news.html|
155|MI|Vassar|Pioneer Times|http://www.michigansthumb.com/pioneer_times/front/|Bad url?
156|MI|Waterford|Spinal Column Newsweekly|http://spinalcolumnonline.com/|
157|MI|Wayland|Penasee Globe|http://www.mlive.com/penaseeglobe/|
158|MI|West Branch|Ogemaw County Herald|http://www.ogemawherald.com/|
159|MI|Ypsilanti|Ypsilanti Courier|http://www.heritage.com/ypsilanti_courier/|
160|GA|Albany|The Albany Herald|http://www.albanyherald.net/|
161|GA|Albany|The Albany Journal|http://thealbanyjournal.com/|
162|GA|Alma|The Alma Times|http://www.thealmatimes.com/|
163|GA|Alpharetta|Appen Newspapers|http://www.northfulton.com/|
