nid, name, url, lat, lng, offsetLat, offsetLng
585,Jackson County Banner,www.thebanner.com,38.878859,-86.046346,0.101332054105,0.130167417012
586,Chesterton Tribune,chestertontribune.com,41.599826,-87.054994,0.101347961472,0.135528145231
587,Hoosier Topics,www.countryconnect.com,39.521221,-86.798689,0.101335783931,0.131367949932
588,The Post & Mail,www.thepostandmail.com,41.163231,-85.478432,0.101345391882,0.134617891751
589,The Republic,www.therepublic.com,39.209684,-85.917802,0.101333972753,0.130780909129
590,News Examiner,www.newsexaminer.com,39.658023,-85.141747,0.101336580546,0.131628627628
591,The Corydon Democrat,www.corydondemocrat.com,38.213126,-86.125818,0.101328208712,0.128963024627
592,Journal Review,www.journalreview.com,40.04328,-86.896694,0.10133882798,0.132372385119
593,Paper Montgomery Co.,www.thepaper24-7.com,40.04328,-86.896694,0.10133882798,0.132372385119
594,Decatur Daily Democrat,www.decaturdailydemocrat.com,40.830135,-84.928153,0.101343435257,0.13393677878
595,The Elkhart Truth,www.etruth.com,41.691167,-85.965132,0.101348499731,0.135721135661
596,The Call-Leader,www.elwoodpublishing.com,40.2746,-85.83709,0.101340180143,0.132825896774
597,Evansville Courier,www.courierpress.com,37.987734,-87.534703,0.10132691181,0.128564196158
598,News 4U,www.news4uonline.com,37.987734,-87.534703,0.10132691181,0.128564196158
599,Carroll County Comet,www.carrollcountycomet.com,40.545177,-86.524194,0.101341764242,0.1333630891
600,Fort Wayne Journal Gazette,www.journalgazette.net,41.088173,-85.14388,0.101344950687,0.1344634145
601,Fort Wayne Reader,www.fortwaynereader.com,41.088173,-85.14388,0.101344950687,0.1344634145
602,Ink Newspaper,inknewspaper.com,41.088173,-85.14388,0.101344950687,0.1344634145
603,The News-Sentinel,www.news-sentinel.com,41.088173,-85.14388,0.101344950687,0.1344634145
604,The Waynedale News,thewaynedalenews.com,41.088173,-85.14388,0.101344950687,0.1344634145
605,The Times,www.ftimes.com,40.279679,-86.510779,0.101340209854,0.132835913427
606,Daily Journal of Johnson Co,www.dailyjournal.net,39.493486,-86.054075,0.101335622522,0.131315317231
607,Springs Valley Herald,springsvalleyherald.com,38.547698,-86.619818,0.101330138573,0.129563328878
608,Goshen News,goshennews.com,41.574921,-85.830793,0.10134781475,0.13547567912
609,Express News,gosportexpressnews.com,39.350757,-86.66556,0.101334792392,0.131045608964
610,Banner-Graphic,www.bannergraphic.com,39.642017,-86.846119,0.101336487302,0.131598035981
611,Daily Reporter,www.greenfieldreporter.com,39.793283,-85.772548,0.101337368931,0.131888123726
612,Greensburg Daily News,greensburgdailynews.com,39.351019,-85.501189,0.101334793915,0.131046102297
613,Hartford City News-Times,www.hartfordcitynewstimes.com,40.453659,-85.373184,0.101341228158,0.133180576391
614,Herald Press,www.h-ponline.com,40.880825,-85.505498,0.101343732788,0.134039693946
620,Kendallville News-Sun,www.kpcnews.net,41.444491,-85.257919,0.101347046626,0.135201985389
621,The News Sun,www.kpcnews.net,41.444491,-85.257919,0.101347046626,0.135201985389
622,Kokomo Perspective,www.kokomoperspective.com,40.475317,-86.132763,0.101341354998,0.133223692862
623,Kokomo Tribune,kokomotribune.com,40.475317,-86.132763,0.101341354998,0.133223692862
624,Herald-Argus,www.heraldargus.com,41.607896,-86.713606,0.101348009018,0.13554516008
625,Journal & Courier,www.jconline.com,40.399425,-86.861699,0.101340910611,0.133072813367
626,The Reporter,reporter.net,40.03162,-86.456951,0.101338759876,0.132349664007
627,The Daily World,dailycitizen.com,39.035744,-87.158695,0.101332963358,0.13045709018
628,Pharos-Tribune,pharostribune.com,40.750182,-86.356182,0.101342966134,0.133774983803
629,Madison Courier Online,madisoncourier.com,38.758829,-85.397135,0.101331359218,0.129947314332
630,Chronicle-Tribune,www.chronicle-tribune.com,40.549582,-85.659225,0.101341790052,0.133371895081
631,The Reporter Times,www.reporter-times.com,39.422141,-86.420904,0.101335207462,0.131180259972
632,Gary Post Tribune,posttrib.suntimes.com,41.472687,-87.31807,0.101347212637,0.135260998953
633,The News-Dispatch,thenewsdispatch.com,41.712512,-86.876144,0.101348625545,0.135766363356
634,Herald Journal,newsbug.info,40.745231,-86.767256,0.101342937091,0.133764986202
635,Mooresville Times,www.reporter-times.com,39.603805,-86.366936,0.101336264736,0.131525101642
636,The Star Press,www.thestarpress.com,40.198978,-85.393346,0.101339737882,0.132677058484
637,The Times,www.nwitimes.com,41.54751,-87.503269,0.101347653283,0.135418010098
638,Brown County Democrat,www.browncountyindiana.com,39.210962,-86.244914,0.101333980174,0.130783298739
639,This Is Brown County,www.thisisbrowncounty.com,39.210962,-86.244914,0.101333980174,0.130783298739
640,The Courier Times,www.thecouriertimes.com,39.919835,-85.370064,0.101338107218,0.132132506955
641,Posey County News,www.poseycountynews.com,38.128606,-87.932538,0.101327722078,0.128812945002
642,The Farmer's Exchange,www.farmers-exchange.net,41.500497,-85.824851,0.101347376397,0.135319287068
643,Warrick News,www.tristate-media.com,37.949202,-87.404592,0.101326690362,0.128496459089
644,The Noblesville Ledger,www.indystar.com,40.036979,-86.007192,0.101338791176,0.132360105108
645,The Times,www.thenoblesvilletimes.com,40.036979,-86.007192,0.101338791176,0.132360105108
646,Plain Dealer & Sun,plaindealer-sun.com,39.014661,-85.629937,0.101332841103,0.130418030785
647,Paoli News-Republican,paolinewsrepublican.com,38.556675,-86.470437,0.101330190429,0.129579573562
648,Pendleton Times-Post,pendletontimespost.com,40.008478,-85.760778,0.101338624722,0.132304607889
649,Peru Tribune,www.miamicountylife.com,40.758805,-86.071475,0.101343016719,0.133792402251
650,The Flyer Group Newspapers,flyergroup.com,39.701469,-86.372936,0.101336833698,0.131711787652
651,The Pilot News,www.thepilotnews.com,41.349424,-86.319434,0.10134648706,0.135003630827
652,Commercial Review,thecr.com,40.436681,-84.983441,0.101341128739,0.133146809552
653,Princeton Daily Clarion,www.tristate-media.com,38.355135,-87.578162,0.101329027161,0.129216606666
654,Republican Newspaper,newsbug.info,40.934977,-87.150184,0.10134405073,0.134149928378
655,Palladium-Item,www.pal-item.com,39.832079,-84.889699,0.101337595194,0.131962878009
656,Rochester Sentinel,www.rochsent.com,41.060646,-86.198225,0.101344788925,0.134406907349
657,Rushville Republican,rushvillerepublican.com,39.615408,-85.446322,0.101336332311,0.131547233305
658,Salem Leader,www.salemleader.com,38.604769,-86.09726,0.101330468316,0.129666727408
659,Seymour Tribune,www.tribtown.com,38.944819,-85.892393,0.101332436251,0.130288930434
660,Shelbyville News,www.shelbynews.com,39.533819,-85.773697,0.101335857259,0.13139188122
661,South Bend Tribune,www.southbendtribune.com,41.67685,-86.269043,0.101348415348,0.135690826897
662,Spencer Evening World,www.spencereveningworld.com,39.286121,-86.769484,0.101334416747,0.130924099336
663,The Hoosier Topics,www.thehoosiertopics.com,39.286121,-86.769484,0.101334416747,0.130924099336
664,Tribune-Star,tribstar.com,39.465542,-87.375924,0.101335459928,0.131262361512
665,Tipton County Tribune,www.elwoodpublishing.com,40.283862,-86.041877,0.101340234324,0.13284416493
666,Osgood Journal,www.ripleynews.com,39.063914,-85.256487,0.101333126741,0.130509343309
